Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
007FDC       4    No     00000005-0000000D        9
017F98       1    No     0000000E-00000013        6
039D9E       1    No     00000014-00000019        6
080269       1    No     0000001A-0000001F        6
080271     F23    No     00000020-00000F47      F28
081194      54    Yes    00000F48-00000F4F        8
0DD727     408    No     00000F50-0000135C      40D
0DE000      34    No     0000135D-00001395       39
0DE1BF      2E    No     00001396-000013C8       33
0DE3D5      2E    No     000013C9-000013FB       33
0DE65C      26    No     000013FC-00001426       2B
0DE875       A    No     00001427-00001435        F
0DE91B      2A    No     00001436-00001464       2F
0DEACC      10    No     00001465-00001479       15
0DEB1A       6    No     0000147A-00001484        B
0DF286     944    No     00001485-00001DCD      949
------    ----    EOF    00001DCE-00001DD0        3

Total Patches: 10 (16)
